title:房屋建筑施工面积数据,unit:万平方米,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,777.6,,,,,,,,,
,,,2013,,,,,,,,,,,,,,,,4187.9483,,,,,,,,,
,,,2014,,,32886.88,23029.1,11182.18,,,6069.5298,,17751.6,,,6086.31,,6249.7,4910.85,10997,7598.91,,,8171,,15773.37,9946.5,
,,,2015,20009.1,17885.94,32801.61,21965.73,13392.94,26442.11,9200.41,6147.753,9998.2,23206,11515.89,16271.44,5457.1,15159.7,7010.06,3921.2,10289.73,7800.01,11062.52,10189,8971,21686.34,14486.6,7786,8341.31
,,,2016,22721.4,17733.25,32077.14,9349.76,14727.1,23976.5,9518.45,6522.2178,10660,25324,19228.82,15857.37,2955.3,16289.56,6677.5,1291.71,10755.78,7760.77,11803.1,10293,9101,17896.18,4766.2907,5137.5,7058.07
,,,2017,21512.7,18587.63,33210.82,15231.2,15843.92,22396.9,11870.92,541.6399,10376.72,23772,9506.45,15540.08,2705.2,19323.31,7560.49,1064.29,105830570,7947.59,11912.98,11363,9533,18807.44,12482.86,4726.9,6967.08
,,,2018,17956.3,18757.71,35140.02,13379.88,16044.57,21454.8,10293.44,7216.3208,8233.22,32047,27060.06,10395.37,2276.6,27755.15,9216.78,,33415.44,7921.37,11759.79,12984,10390,11755.16,7472.48,4219.82,6525.79
,,,2019,80556.8,50918.9,36557.8,15616.9,17475.02,26419,12236.93,5843.0688,7874.2,32015,9001.67,12303.98,2298,11985.91,10370.79,,37406.25,8480.51,13556.46,14955.44,17538.24,29470,8347.74,3855.62,6626.56