title:社会消费品零售总额数据,unit:万元,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,137164000.0,159325000.0,,,49893300.0,81185000.0,30704400.0,,45137600.0,50763000.0,72030300.0,77020000.0,,,86648300.0,37401400.0,44697600.0,42256100.0,61498400.0,44691000.0,52035000.0,59730000.0,42383000.0,18280000.0,36376000.0
,,,2019,150637000,158476000,116317000,55161000,51409300,83134000,30565700,20663000,43782200,53244400,71363200,78133961,,95515700,91444581,31797762,52470321,41989400,77744900,44204100,51265971,61877000,42685582,39487000,44795912
,,,2018,144223000,148748000,107052000,42312000,48547000,68018100,29062400,19904300,40316700,48639000,58324600,73697100,41251000,88109100,85195000,36373700,47650415,46664600,71697000,44045000,47427204,56898200,39643900,38800542.4,40512000
,,,2017,47000,83000,107000,-54000,44227200,64035300,25909500,19132400,36570112,40572000,56046600,54428200,40448000,81906300,77895215,33130500,45476752,41938700,64932400,37525200,43214300,52223306,36729100,37225011,39898000
,,,2016,110051000,125882100,72714000,56358000,40124400,56474000,23100900,17718300,24457000,36658000,56272900,61122101,37442000,75620300,70021463,29888400,41174019,37631400,58436600,37648000,39141939,47279732,33376097,34101246,39859000
,,,2015,103380000,116057000,64240000,52573000,36209000,49461900,20617000,16445500,21836501,32947100,45902000,54889829,33945000,79330000,64231050,26226500,36905930,34887400,51022400,34103100,37137000,46972300,33496000,30843000,38832000
,,,2014,,,57107000,47387000,,,,15373600,,,,,30709000,71445000,,,,,,,,,,,
,,,2013,,,,,,,,,,,,,27283000,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,