title:金融业增加值数据,unit:亿元,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,7166.26,2212.80,2056.73,1069.98,2114.8,,,970.26,,,1770.4,654.2,,4189.63,645.50,,,,,,2038,,,
,,,2019,6544.8,6600.6,2088,1907.9,998.94,,,466.6295,869.07,1231.42,1621.03,,603.1,2041.87,3667.629,551.65,,1005.35,,,,1789,,609,
,,,2018,5951.3,5901.9,1876,1838.4,916.94,1750.1515,,415.8908,790.12,1145.7614,1473.32,1520.59,443.6,2079.46,3351.8852,511.45,,883.67,,831.11,,1197,,588,
,,,2017,5299.6,5334.45,1813.73,1951.75,834.19,1604.3336,,274.9388,489.55,1043.1773,1355.05,1421.24,418.3,1955.12,3160.2393,457.63,686.0565,797.13,1097.58,776.01,,1055,518.9091,597.3,
,,,2016,4784.7,4762.5,1642.59,1735.33,743.09,1415.6027,,260.5925,483.02,882.0012,1241.76,1333.77,382.2,1809.3663,3017.5521,441.77,568.4306,658.11,974.32,719.98,,,432.475,580.3,
,,,2015,4365.5,4052.23,1410.18,1588.12,683.26,1254.2262,,237.272,396.29,701.4377,1122.23,1180.43,371.9,1628.7084,2661.917,401.37,426.3464,576.39,837.49,641.9,,,,555.4,
,,,2014,3736.8,,,,,1071.8095,,200.7243,,562.8006,978.81,1021.51,,1422.1516,,,321.7757,427.1,699.57,541.88,,,440.8978,430.3,
,,,2013,,,,,,,,,,,,,,,,,277.332,,607.32,461,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,530.11,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,731.49,443.2476,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,382.3291,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,323.6056,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,390,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,92.6629
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,56.8126
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,64.1689
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,37.9085
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,31.8562
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,26.7578
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,